obs_point,date,head
MEL_1,2003-05-13,16.34
MEL_1,2003-05-26,16.6
MEL_1,2003-06-11,16.33
MEL_1,2003-06-24,16.03
MEL_1,2003-07-08,15.98
MEL_1,2003-07-29,15.68
MEL_1,2003-08-12,15.53
MEL_1,2003-08-26,15.38
MEL_1,2003-09-16,15.48
MEL_1,2003-09-30,15.39
MEL_1,2003-10-13,15.43
MEL_1,2003-10-27,15.51
MEL_1,2003-11-24,15.68
MEL_1,2003-12-15,15.81
MEL_1,2004-01-05,16.03
MEL_1,2004-01-21,17.01
MEL_1,2004-02-16,16.9
MEL_1,2004-03-01,16.86
MEL_1,2004-03-15,16.91
MEL_1,2004-03-29,16.76
MEL_1,2004-04-13,16.89
MEL_1,2004-04-26,16.68
MEL_1,2004-05-10,16.66
MEL_1,2004-06-01,16.18
MEL_1,2004-06-14,16.03
MEL_1,2004-06-25,15.83
MEL_1,2004-06-28,15.88
MEL_1,2004-07-12,15.83
MEL_1,2004-08-02,15.74
MEL_1,2004-08-16,15.8
MEL_1,2004-08-30,15.79
MEL_1,2004-09-13,15.6
MEL_1,2004-09-27,15.65
MEL_1,2004-10-11,15.55
MEL_1,2004-10-25,15.63
MEL_1,2004-11-16,15.77
MEL_1,2004-11-29,15.94
MEL_1,2004-12-13,16.0
MEL_1,2005-01-03,16.33
MEL_1,2005-01-17,16.37
MEL_1,2005-01-31,16.52
MEL_1,2005-02-14,17.09
MEL_1,2005-03-07,16.92
MEL_1,2005-03-14,17.0
MEL_1,2005-03-29,16.8
MEL_1,2005-04-11,16.79
MEL_1,2005-04-25,16.86
MEL_1,2005-05-09,17.06
MEL_1,2005-05-23,16.71
MEL_1,2005-05-30,16.47
MEL_1,2005-06-14,16.19
MEL_1,2005-06-28,15.86
MEL_1,2005-07-12,16.25
MEL_1,2005-07-26,15.93
MEL_1,2005-08-16,15.74
MEL_1,2005-08-29,15.97
MEL_1,2005-09-12,15.77
MEL_1,2005-09-26,15.66
MEL_1,2005-10-11,15.73
MEL_1,2005-10-24,15.69
MEL_1,2005-11-14,15.85
MEL_1,2005-11-28,16.3
MEL_1,2005-12-12,16.38
MEL_1,2006-01-02,16.85
MEL_1,2006-01-10,16.71
MEL_1,2006-02-01,16.68
MEL_1,2006-02-14,17.01
MEL_1,2006-02-28,17.09
MEL_1,2006-03-13,17.18
MEL_1,2006-03-27,17.04
MEL_1,2006-04-11,17.11
MEL_1,2006-04-24,17.0
MEL_1,2006-05-08,16.82
MEL_1,2006-05-29,16.95
MEL_1,2006-06-13,16.39
MEL_1,2006-06-26,16.25
MEL_1,2006-07-10,15.91
MEL_1,2006-07-25,15.63
MEL_1,2006-08-10,15.63
MEL_1,2006-08-28,16.71
MEL_1,2006-09-11,16.21
MEL_1,2006-09-25,16.01
MEL_1,2006-10-10,16.03
MEL_1,2006-10-23,16.03
MEL_1,2006-11-06,16.19
MEL_1,2006-11-28,16.8
MEL_1,2006-12-11,17.2
MEL_1,2007-01-02,17.15
MEL_1,2007-01-15,17.12
MEL_1,2007-01-31,17.11
MEL_1,2007-02-15,17.25
MEL_1,2007-02-26,17.21
MEL_1,2007-03-12,17.23
MEL_1,2007-03-26,17.12
MEL_1,2007-04-11,16.95
MEL_1,2007-04-23,16.75
MEL_1,2007-05-14,16.53
MEL_1,2007-05-31,16.43
MEL_1,2007-06-11,16.32
MEL_1,2007-06-25,16.33
MEL_1,2007-07-10,16.22
MEL_1,2007-07-24,16.73
MEL_1,2007-08-07,16.38
MEL_1,2007-08-27,16.38
MEL_1,2007-09-10,16.19
MEL_1,2007-09-24,16.18
MEL_1,2007-10-08,16.59
MEL_1,2007-10-22,16.53
MEL_1,2007-11-12,16.83
MEL_1,2007-11-26,16.95
MEL_1,2007-12-10,17.23
MEL_1,2007-12-21,17.09
MEL_1,2008-01-14,17.13
MEL_1,2008-01-28,17.05
MEL_1,2008-02-11,17.12
MEL_1,2008-02-25,16.98
MEL_1,2008-03-10,17.06
MEL_1,2008-03-25,17.25
MEL_1,2008-04-07,17.22
MEL_1,2008-04-21,17.18
MEL_1,2008-05-13,16.75
