date,obs_point,head,hour
2012-01-02,MEL_1,17.0,00:00:00
2012-01-02,OOST_16,13.6,00:00:00
2012-01-02,OOST_17,13.46,00:00:00
2012-01-03,MEL_1,16.33,00:00:00
2012-01-03,OOST_16,13.55,00:00:00
2012-01-03,OOST_17,13.43,00:00:00
2012-01-05,MEL_1,16.03,00:00:00
2012-01-05,OOST_16,13.5,00:00:00
2012-01-05,OOST_17,13.42,00:00:00
2012-01-10,MEL_1,16.965,00:00:00
2012-01-10,OOST_16,13.58,00:00:00
2012-01-10,OOST_17,13.425,00:00:00
2012-01-11,MEL_1,16.82,00:00:00
2012-01-11,OOST_16,13.45,00:00:00
2012-01-11,OOST_17,13.28,00:00:00
2012-01-12,MEL_1,16.67,00:00:00
2012-01-12,OOST_16,13.49,00:00:00
2012-01-12,OOST_17,13.28,00:00:00
2012-01-14,MEL_1,17.13,00:00:00
2012-01-14,OOST_16,13.62,00:00:00
2012-01-14,OOST_17,13.44,00:00:00
2012-01-15,MEL_1,17.12,00:00:00
2012-01-15,OOST_16,13.59,00:00:00
2012-01-15,OOST_17,13.42,00:00:00
2012-01-17,MEL_1,16.37,00:00:00
2012-01-17,OOST_16,13.56,00:00:00
2012-01-17,OOST_17,13.42,00:00:00
2012-01-21,MEL_1,17.095,00:00:00
2012-01-21,OOST_16,13.58,00:00:00
2012-01-21,OOST_17,13.425,00:00:00
2012-01-26,MEL_1,17.13,00:00:00
2012-01-26,OOST_16,13.58,00:00:00
2012-01-26,OOST_17,13.42,00:00:00
2012-01-28,MEL_1,17.05,00:00:00
2012-01-28,OOST_16,13.62,00:00:00
2012-01-28,OOST_17,13.43,00:00:00
2012-01-31,MEL_1,16.814999999999998,00:00:00
2012-01-31,OOST_16,13.585,00:00:00
2012-01-31,OOST_17,13.43,00:00:00
2012-02-01,MEL_1,16.68,00:00:00
2012-02-01,OOST_16,13.57,00:00:00
2012-02-01,OOST_17,13.44,00:00:00
2012-02-07,MEL_1,17.13,00:00:00
2012-02-07,OOST_16,13.59,00:00:00
2012-02-07,OOST_17,13.38,00:00:00
2012-02-08,MEL_1,17.11,00:00:00
2012-02-09,MEL_1,17.04,00:00:00
2012-02-09,OOST_16,13.58,00:00:00
2012-02-09,OOST_17,13.4,00:00:00
2012-02-11,MEL_1,17.12,00:00:00
2012-02-11,OOST_16,13.64,00:00:00
2012-02-11,OOST_17,13.44,00:00:00
2012-02-14,MEL_1,17.05,00:00:00
2012-02-14,OOST_16,13.605,00:00:00
2012-02-14,OOST_17,13.485,00:00:00
2012-02-15,MEL_1,17.25,00:00:00
2012-02-15,OOST_16,13.62,00:00:00
2012-02-15,OOST_17,13.44,00:00:00
2012-02-16,MEL_1,16.9,00:00:00
2012-02-16,OOST_16,13.54,00:00:00
2012-02-16,OOST_17,13.42,00:00:00
2012-02-22,MEL_1,16.98,00:00:00
2012-02-22,OOST_16,13.58,00:00:00
2012-02-22,OOST_17,13.45,00:00:00
2012-02-24,MEL_1,17.13,00:00:00
2012-02-24,OOST_16,13.58,00:00:00
2012-02-24,OOST_17,13.4,00:00:00
2012-02-25,MEL_1,16.98,00:00:00
2012-02-25,OOST_16,13.6,00:00:00
2012-02-25,OOST_17,13.44,00:00:00
2012-02-26,MEL_1,17.21,00:00:00
2012-02-26,OOST_16,13.61,00:00:00
2012-02-26,OOST_17,13.47,00:00:00
2012-02-28,MEL_1,17.09,00:00:00
2012-02-28,OOST_16,13.59,00:00:00
2012-02-28,OOST_17,13.46,00:00:00
2012-03-01,MEL_1,16.86,00:00:00
2012-03-01,OOST_16,13.56,00:00:00
2012-03-01,OOST_17,13.44,00:00:00
2012-03-06,MEL_1,16.92,00:00:00
2012-03-06,OOST_16,13.58,00:00:00
2012-03-06,OOST_17,13.45,00:00:00
2012-03-08,MEL_1,17.11,00:00:00
2012-03-08,OOST_16,13.6,00:00:00
2012-03-08,OOST_17,13.45,00:00:00
2012-03-10,MEL_1,17.06,00:00:00
2012-03-10,OOST_16,13.61,00:00:00
2012-03-10,OOST_17,13.44,00:00:00
2012-03-11,MEL_1,17.23,00:00:00
2012-03-11,OOST_16,13.6,00:00:00
2012-03-11,OOST_17,13.43,00:00:00
2012-03-12,MEL_1,17.18,00:00:00
2012-03-12,OOST_16,13.59,00:00:00
2012-03-12,OOST_17,13.45,00:00:00
2012-03-13,MEL_1,17.0,00:00:00
2012-03-13,OOST_16,13.59,00:00:00
2012-03-13,OOST_17,13.46,00:00:00
2012-03-15,MEL_1,16.91,00:00:00
2012-03-15,OOST_16,13.58,00:00:00
2012-03-15,OOST_17,13.45,00:00:00
2012-03-21,MEL_1,17.18,00:00:00
2012-03-21,OOST_16,13.56,00:00:00
2012-03-21,OOST_17,13.42,00:00:00
2012-03-25,MEL_1,17.185000000000002,00:00:00
2012-03-25,OOST_16,13.620000000000001,00:00:00
2012-03-25,OOST_17,13.44,00:00:00
2012-03-26,MEL_1,17.04,00:00:00
2012-03-26,OOST_16,13.6,00:00:00
2012-03-26,OOST_17,13.49,00:00:00
2012-03-28,MEL_1,16.8,00:00:00
2012-03-28,OOST_16,13.57,00:00:00
2012-03-28,OOST_17,13.44,00:00:00
2012-03-29,MEL_1,16.76,00:00:00
2012-03-29,OOST_16,13.54,00:00:00
2012-03-29,OOST_17,13.41,00:00:00
2012-04-05,MEL_1,17.12,00:00:00
2012-04-05,OOST_16,13.58,00:00:00
2012-04-05,OOST_17,13.35,00:00:00
2012-04-07,MEL_1,17.22,00:00:00
2012-04-10,MEL_1,16.95,00:00:00
2012-04-10,OOST_16,13.576666666666668,00:00:00
2012-04-10,OOST_17,13.43,00:00:00
2012-04-11,MEL_1,17.09,00:00:00
2012-04-11,OOST_16,13.51,00:00:00
2012-04-11,OOST_17,13.3,00:00:00
2012-04-13,MEL_1,16.89,00:00:00
2012-04-13,OOST_16,13.58,00:00:00
2012-04-13,OOST_17,13.45,00:00:00
2012-04-19,MEL_1,16.965,00:00:00
2012-04-19,OOST_16,13.504999999999999,00:00:00
2012-04-19,OOST_17,13.265,00:00:00
2012-04-21,MEL_1,17.18,00:00:00
2012-04-21,OOST_17,13.43,00:00:00
2012-04-22,MEL_1,16.75,00:00:00
2012-04-22,OOST_16,13.42,00:00:00
2012-04-22,OOST_17,13.23,00:00:00
2012-04-23,MEL_1,17.0,00:00:00
2012-04-23,OOST_16,13.56,00:00:00
2012-04-23,OOST_17,13.47,00:00:00
2012-04-24,MEL_1,16.86,00:00:00
2012-04-24,OOST_16,13.56,00:00:00
2012-04-24,OOST_17,13.42,00:00:00
2012-04-26,MEL_1,16.68,00:00:00
2012-04-26,OOST_16,13.52,00:00:00
2012-04-26,OOST_17,13.41,00:00:00
2012-05-05,OOST_16,13.55,00:00:00
2012-05-05,OOST_17,13.42,00:00:00
2012-05-07,MEL_1,16.82,00:00:00
2012-05-07,OOST_16,13.53,00:00:00
2012-05-07,OOST_17,13.43,00:00:00
2012-05-08,MEL_1,17.06,00:00:00
2012-05-08,OOST_16,13.58,00:00:00
2012-05-08,OOST_17,13.43,00:00:00
2012-05-10,MEL_1,16.626666666666665,00:00:00
2012-05-10,OOST_16,13.423333333333332,00:00:00
2012-05-10,OOST_17,13.24,00:00:00
2012-05-12,MEL_1,16.34,00:00:00
2012-05-12,OOST_16,13.54,00:00:00
2012-05-12,OOST_17,13.4,00:00:00
2012-05-13,MEL_1,16.64,00:00:00
2012-05-13,OOST_16,13.395,00:00:00
2012-05-13,OOST_17,13.195,00:00:00
2012-05-22,MEL_1,16.71,00:00:00
2012-05-22,OOST_16,13.5,00:00:00
2012-05-22,OOST_17,13.4,00:00:00
2012-05-24,MEL_1,16.4,00:00:00
2012-05-24,OOST_16,13.28,00:00:00
2012-05-24,OOST_17,13.1,00:00:00
2012-05-25,MEL_1,16.6,00:00:00
2012-05-25,OOST_16,13.56,00:00:00
2012-05-25,OOST_17,13.42,00:00:00
2012-05-26,MEL_1,16.53,00:00:00
2012-05-26,OOST_16,13.28,00:00:00
2012-05-26,OOST_17,13.01,00:00:00
2012-05-28,MEL_1,16.95,00:00:00
2012-05-28,OOST_16,13.6,00:00:00
2012-05-28,OOST_17,13.47,00:00:00
2012-05-29,MEL_1,16.47,00:00:00
2012-05-29,OOST_16,13.36,00:00:00
2012-05-29,OOST_17,13.29,00:00:00
2012-05-30,MEL_1,16.43,00:00:00
2012-05-30,OOST_16,13.38,00:00:00
2012-05-30,OOST_17,13.15,00:00:00
2012-06-01,MEL_1,16.18,00:00:00
2012-06-01,OOST_16,13.44,00:00:00
2012-06-01,OOST_17,13.26,00:00:00
2012-06-06,MEL_1,16.26,00:00:00
2012-06-06,OOST_16,13.27,00:00:00
2012-06-06,OOST_17,13.06,00:00:00
2012-06-09,MEL_1,16.86,00:00:00
2012-06-09,OOST_16,13.57,00:00:00
2012-06-09,OOST_17,13.38,00:00:00
2012-06-10,MEL_1,16.325,00:00:00
2012-06-10,OOST_16,13.415,00:00:00
2012-06-10,OOST_17,13.215,00:00:00
2012-06-12,MEL_1,16.39,00:00:00
2012-06-12,OOST_16,13.28,00:00:00
2012-06-12,OOST_17,13.26,00:00:00
2012-06-13,MEL_1,16.19,00:00:00
2012-06-13,OOST_16,13.17,00:00:00
2012-06-13,OOST_17,13.0,00:00:00
2012-06-14,MEL_1,16.03,00:00:00
2012-06-14,OOST_16,13.3,00:00:00
2012-06-14,OOST_17,13.15,00:00:00
2012-06-21,MEL_1,16.23,00:00:00
2012-06-21,OOST_16,13.19,00:00:00
2012-06-21,OOST_17,13.0,00:00:00
2012-06-23,MEL_1,16.235,00:00:00
2012-06-23,OOST_16,13.170000000000002,00:00:00
2012-06-23,OOST_17,13.015,00:00:00
2012-06-24,MEL_1,16.33,00:00:00
2012-06-24,OOST_16,13.39,00:00:00
2012-06-24,OOST_17,13.19,00:00:00
2012-06-25,MEL_1,16.04,00:00:00
2012-06-25,OOST_16,13.23,00:00:00
2012-06-25,OOST_17,13.055,00:00:00
2012-06-27,MEL_1,15.86,00:00:00
2012-06-27,OOST_16,12.73,00:00:00
2012-06-27,OOST_17,12.5,00:00:00
2012-06-28,MEL_1,15.88,00:00:00
2012-06-28,OOST_16,13.12,00:00:00
2012-06-28,OOST_17,12.95,00:00:00
2012-06-29,MEL_1,15.86,00:00:00
2012-06-29,OOST_16,12.6,00:00:00
2012-06-29,OOST_17,12.41,00:00:00
2012-07-05,MEL_1,15.93,00:00:00
2012-07-05,OOST_16,12.73,00:00:00
2012-07-05,OOST_17,12.5,00:00:00
2012-07-07,MEL_1,16.060000000000002,00:00:00
2012-07-07,OOST_16,13.15,00:00:00
2012-07-07,OOST_17,12.985,00:00:00
2012-07-09,MEL_1,16.064999999999998,00:00:00
2012-07-09,OOST_16,13.07,00:00:00
2012-07-09,OOST_17,12.92,00:00:00
2012-07-11,MEL_1,16.25,00:00:00
2012-07-11,OOST_16,13.39,00:00:00
2012-07-11,OOST_17,13.3,00:00:00
2012-07-12,MEL_1,15.83,00:00:00
2012-07-12,OOST_16,13.18,00:00:00
2012-07-12,OOST_17,13.0,00:00:00
2012-07-22,MEL_1,16.08,00:00:00
2012-07-23,MEL_1,16.73,00:00:00
2012-07-23,OOST_16,13.58,00:00:00
2012-07-23,OOST_17,13.51,00:00:00
